Dist Code,Year,State Code,State Name,Dist Name,Crop,Area_ha,Yield_kg_per_ha,N_req_kg_per_ha,P_req_kg_per_ha,K_req_kg_per_ha,Total_N_kg,Total_P_kg,Total_K_kg,Temperature_C,Humidity_%,pH,Rainfall_mm,Wind_Speed_m_s,Solar_Radiation_MJ_m2_day
1,1966,14,Chhattisgarh,Durg,rice,548000.0,337.59,8.43975,4.05108,7.42698,4624983.0,2219991.84,4069985.04,25,80,6.5,1200,2.0,18
1,1966,14,Chhattisgarh,Durg,maize,3000.0,666.67,18.00009,8.00004,11.33339,54000.270000000004,24000.12,34000.17,22,70,6.0,800,2.5,20
1,1966,14,Chhattisgarh,Durg,chickpea,54000.0,500.0,9.0,5.0,9.0,486000.0,270000.0,486000.0,20,60,6.5,600,1.5,16
1,1967,14,Chhattisgarh,Durg,rice,547000.0,747.71,18.69275,8.97252,16.44962,10224934.25,4907968.4399999995,8997942.14,25,80,6.5,1200,2.0,18
1,1967,14,Chhattisgarh,Durg,maize,3000.0,1000.0,27.0,12.0,17.0,81000.0,36000.0,51000.0,22,70,6.0,800,2.5,20
1,1967,14,Chhattisgarh,Durg,chickpea,52000.0,288.46,5.19228,2.8846,5.19228,269998.56,149999.19999999998,269998.56,20,60,6.5,600,1.5,16
1,1968,14,Chhattisgarh,Durg,rice,556300.0,841.27,21.03175,10.09524,18.507939999999998,11699962.524999999,5615982.012,10295967.021999998,25,80,6.5,1200,2.0,18
1,1968,14,Chhattisgarh,Durg,maize,2800.0,714.29,19.28583,8.57148,12.14293,54000.324,24000.143999999997,34000.204,22,70,6.0,800,2.5,20
1,1968,14,Chhattisgarh,Durg,chickpea,51300.0,448.34,8.07012,4.4834,8.07012,413997.15599999996,229998.41999999998,413997.15599999996,20,60,6.5,600,1.5,16
1,1969,14,Chhattisgarh,Durg,rice,563400.0,711.4,17.785,8.5368,15.6508,10020069.0,4809633.12,8817660.72,25,80,6.5,1200,2.0,18
1,1969,14,Chhattisgarh,Durg,maize,2700.0,851.85,22.99995,10.2222,14.48145,62099.865,27599.940000000002,39099.915,22,70,6.0,800,2.5,20
1,1969,14,Chhattisgarh,Durg,chickpea,52600.0,439.16,7.904880000000001,4.3916,7.904880000000001,415796.6880000001,230998.16000000003,415796.6880000001,20,60,6.5,600,1.5,16
1,1970,14,Chhattisgarh,Durg,rice,571600.0,828.55,20.71375,9.9426,18.2281,11839979.5,5683190.16,10419181.96,25,80,6.5,1200,2.0,18
1,1970,14,Chhattisgarh,Durg,maize,2500.0,1320.0,35.64,15.84,22.44,89100.0,39600.0,56100.0,22,70,6.0,800,2.5,20
1,1970,14,Chhattisgarh,Durg,chickpea,53300.0,611.63,11.00934,6.1163,11.00934,586797.822,325998.79,586797.822,20,60,6.5,600,1.5,16
1,1971,14,Chhattisgarh,Durg,rice,581800.0,709.69,17.742250000000002,8.51628,15.613180000000002,10322441.05,4954771.704,9083748.124000002,25,80,6.5,1200,2.0,18
1,1971,14,Chhattisgarh,Durg,maize,2700.0,1148.15,31.00005,13.7778,19.51855,83700.13500000001,37200.06,52700.08500000001,22,70,6.0,800,2.5,20
1,1971,14,Chhattisgarh,Durg,chickpea,50300.0,652.09,11.737620000000001,6.520900000000001,11.737620000000001,590402.2860000001,328001.2700000001,590402.2860000001,20,60,6.5,600,1.5,16
1,1972,14,Chhattisgarh,Durg,rice,582200.0,654.41,16.360249999999997,7.852919999999999,14.397019999999998,9524937.549999999,4571970.023999999,8381945.043999999,25,80,6.5,1200,2.0,18
1,1972,14,Chhattisgarh,Durg,maize,2800.0,1142.86,30.857219999999998,13.71432,19.42862,86400.216,38400.096000000005,54400.136,22,70,6.0,800,2.5,20
1,1972,14,Chhattisgarh,Durg,chickpea,52300.0,623.33,11.219940000000001,6.233300000000001,11.219940000000001,586802.8620000001,326001.59,586802.8620000001,20,60,6.5,600,1.5,16
1,1973,14,Chhattisgarh,Durg,rice,600000.0,786.5,19.662499999999998,9.437999999999999,17.303,11797499.999999998,5662799.999999999,10381800.0,25,80,6.5,1200,2.0,18
1,1973,14,Chhattisgarh,Durg,maize,2900.0,931.03,25.13781,11.172360000000001,15.82751,72899.649,32399.844000000005,45899.779,22,70,6.0,800,2.5,20
1,1973,14,Chhattisgarh,Durg,chickpea,56400.0,574.47,10.34046,5.7447,10.34046,583201.944,324001.08,583201.944,20,60,6.5,600,1.5,16
1,1974,14,Chhattisgarh,Durg,rice,587400.0,372.83,9.32075,4.47396,8.202259999999999,5475008.55,2628004.104,4818007.523999999,25,80,6.5,1200,2.0,18
1,1974,14,Chhattisgarh,Durg,maize,2900.0,1000.0,27.0,12.0,17.0,78300.0,34800.0,49300.0,22,70,6.0,800,2.5,20
1,1974,14,Chhattisgarh,Durg,chickpea,54900.0,746.81,13.44258,7.4681,13.44258,737997.642,409998.69,737997.642,20,60,6.5,600,1.5,16
1,1975,14,Chhattisgarh,Durg,rice,598300.0,758.82,18.9705,9.10584,16.69404,11350050.15,5448024.072000001,9988044.132000001,25,80,6.5,1200,2.0,18
1,1975,14,Chhattisgarh,Durg,maize,2900.0,1000.0,27.0,12.0,17.0,78300.0,34800.0,49300.0,22,70,6.0,800,2.5,20
1,1975,14,Chhattisgarh,Durg,chickpea,58300.0,518.01,9.32418,5.1800999999999995,9.32418,543599.694,301999.82999999996,543599.694,20,60,6.5,600,1.5,16
1,1976,14,Chhattisgarh,Durg,rice,593600.0,551.04,13.776,6.61248,12.122879999999999,8177433.6,3925168.128,7196141.567999999,25,80,6.5,1200,2.0,18
1,1976,14,Chhattisgarh,Durg,maize,3000.0,666.67,18.00009,8.00004,11.33339,54000.270000000004,24000.12,34000.17,22,70,6.0,800,2.5,20
1,1976,14,Chhattisgarh,Durg,chickpea,52500.0,255.24,4.594320000000001,2.5524000000000004,4.594320000000001,241201.80000000005,134001.00000000003,241201.80000000005,20,60,6.5,600,1.5,16
1,1977,14,Chhattisgarh,Durg,rice,600700.0,952.89,23.82225,11.43468,20.96358,14310025.575000001,6868812.276000001,12592822.506000001,25,80,6.5,1200,2.0,18
1,1977,14,Chhattisgarh,Durg,maize,3400.0,823.53,22.23531,9.88236,14.00001,75600.05399999999,33600.024,47600.034,22,70,6.0,800,2.5,20
1,1977,14,Chhattisgarh,Durg,chickpea,56300.0,314.39,5.65902,3.1439,5.65902,318602.826,177001.57,318602.826,20,60,6.5,600,1.5,16
1,1978,14,Chhattisgarh,Durg,rice,612500.0,591.35,14.783750000000001,7.0962000000000005,13.0097,9055046.875,4346422.5,7968441.25,25,80,6.5,1200,2.0,18
1,1978,14,Chhattisgarh,Durg,maize,3400.0,852.94,23.02938,10.23528,14.49998,78299.89199999999,34799.952,49299.932,22,70,6.0,800,2.5,20
1,1978,14,Chhattisgarh,Durg,chickpea,52100.0,326.3,5.8734,3.2630000000000003,5.8734,306004.14,170002.30000000002,306004.14,20,60,6.5,600,1.5,16
1,1979,14,Chhattisgarh,Durg,rice,616800.0,535.99,13.39975,6.43188,11.79178,8264965.8,3967183.584,7273169.903999999,25,80,6.5,1200,2.0,18
1,1979,14,Chhattisgarh,Durg,maize,3000.0,1200.0,32.4,14.399999999999999,20.4,97200.0,43199.99999999999,61199.99999999999,22,70,6.0,800,2.5,20
1,1979,14,Chhattisgarh,Durg,chickpea,65300.0,240.43,4.32774,2.4043,4.32774,282601.422,157000.79,282601.422,20,60,6.5,600,1.5,16
1,1980,14,Chhattisgarh,Durg,rice,634900.0,812.1,20.302500000000002,9.7452,17.8662,12890057.250000002,6187227.48,11343250.379999999,25,80,6.5,1200,2.0,18
1,1980,14,Chhattisgarh,Durg,maize,3000.0,933.33,25.19991,11.19996,15.86661,75599.73,33599.880000000005,47599.83,22,70,6.0,800,2.5,20
